Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
84;0.16100723;0.17113668;0.16329319;0.16278013;0.15723846;0.163091138;0.005085883
85;0.16239056;0.16786298;0.15927277;0.16133091;0.15363635;0.160898714;0.005155071
86;0.15736672;0.16550079;0.15717155;0.15797095;0.15332105;0.158266212;0.004440954
87;0.15695946;0.160665;0.15756666;0.15860983;0.1529686;0.15735391;0.002827209
88;0.1543531;0.16104074;0.15796305;0.15697622;0.15121125;0.156308872;0.003720989
89;0.14988446;0.15932057;0.15309947;0.15482546;0.14825948;0.153077888;0.004342827
90;0.14911089;0.16120891;0.15232195;0.15343655;0.14819615;0.15285489;0.005151053
91;0.14878928;0.15438616;0.14902206;0.14935591;0.14171146;0.148652974;0.004519485
92;0.14517351;0.15200162;0.1506984;0.14699933;0.14125435;0.147225442;0.004324026
93;0.14164636;0.14728411;0.14711618;0.14309063;0.1410261;0.144032676;0.002987527
94;0.13987958;0.14846893;0.14309421;0.14236585;0.13636778;0.14203527;0.004455055
95;0.136357;0.14906784;0.1421481;0.13933413;0.13682601;0.140746616;0.005192348
96;0.13453118;0.14623489;0.13950759;0.13735278;0.13775422;0.139076132;0.004382007
97;0.13688438;0.14359612;0.14006967;0.13886385;0.13373654;0.138630112;0.003666839
98;0.13040976;0.13781385;0.13579869;0.13696861;0.12901366;0.134000914;0.004010823
99;0.1280367;0.13853478;0.14034563;0.13279891;0.12982962;0.133909128;0.005366228
100;0.12625847;0.13396514;0.12947182;0.12924822;0.12987343;0.129763416;0.002752349
101;0.13026852;0.13226027;0.12925919;0.13027857;0.12635278;0.129683866;0.002156956
102;0.12080107;0.12968387;0.12581351;0.1296867;0.12264704;0.125726438;0.004034057
103;0.12122436;0.12741558;0.12693751;0.12750847;0.11949204;0.124515592;0.003850364
104;0.11899027;0.13285593;0.12932613;0.12084213;0.11875823;0.124154538;0.006504257
105;0.11691522;0.12591924;0.11680645;0.12029396;0.11754715;0.119496404;0.003859627
106;0.11314536;0.12271141;0.11964518;0.11964007;0.11333456;0.117695316;0.004256276
107;0.11252625;0.12369546;0.11542338;0.11364451;0.11180996;0.115419912;0.004822909
108;0.10748579;0.11908539;0.11669276;0.11421958;0.11018722;0.113534148;0.004718249
109;0.11038572;0.11568999;0.11566655;0.11019425;0.10908681;0.112204664;0.003209497
110;0.10892069;0.11720045;0.11301342;0.1102896;0.11042998;0.111970828;0.003276432
111;0.10378647;0.11384701;0.11261328;0.10998462;0.10636404;0.109319084;0.004217193
112;0.09863655;0.11668309;0.10745723;0.1097198;0.10359329;0.107217992;0.006758032
113;0.09816146;0.11353236;0.1096254;0.10373834;0.1034277;0.105697052;0.005970671
114;0.09697675;0.11093348;0.10578395;0.1040472;0.1038429;0.104316856;0.005002664
115;0.09602285;0.10543082;0.10287218;0.1027673;0.10237117;0.101892864;0.00349738
116;0.09822297;0.11085569;0.10245931;0.1012093;0.09814884;0.102179222;0.00520087
117;0.09644319;0.10904991;0.09958676;0.10206295;0.0961088;0.100650322;0.005291624
118;0.09505659;0.10340419;0.09641387;0.09657254;0.10058871;0.09840718;0.003474724
119;0.08957029;0.10549012;0.09401101;0.09627086;0.09737487;0.09654343;0.005827664
120;0.09057205;0.0986363;0.09068737;0.0944016;0.09396384;0.093652232;0.003308229
121;0.08496777;0.09784281;0.09848413;0.09501189;0.09378422;0.094018164;0.005420439
122;0.08496275;0.09645094;0.09026743;0.09033045;0.08665685;0.089733684;0.004415633
123;0.08214826;0.09219562;0.09083954;0.09098341;0.08344635;0.087922636;0.004730635
124;0.08136012;0.08809264;0.09020557;0.08749445;0.08191291;0.085813138;0.00394834
125;0.08233117;0.08868527;0.09035389;0.08730642;0.08391696;0.086518742;0.003328951
126;0.08300361;0.0881701;0.08550343;0.08478611;0.08309532;0.084911714;0.002116786
127;0.07953577;0.08837074;0.08752514;0.08581104;0.08230855;0.084710248;0.003710726
128;0.07634662;0.0847851;0.08405101;0.08168541;0.07965104;0.081303836;0.003432109
129;0.07335836;0.0817236;0.08266993;0.08006695;0.07904692;0.079373152;0.003645506
130;0.0754579;0.07991991;0.08118305;0.08028156;0.08182254;0.079732992;0.002504055
131;0.07400767;0.08289658;0.07958264;0.07702049;0.07754335;0.078210146;0.003292685
