Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
98;0.17940185;0.19695222;0.19007112;0.20391422;0.20051226;0.194170334;0.009718718
99;0.17948829;0.19577393;0.18732512;0.20260725;0.19950676;0.19294027;0.009448341
100;0.17733084;0.19571517;0.1855659;0.20081309;0.19860717;0.191606434;0.00988604
101;0.17557228;0.19351717;0.18583618;0.20014721;0.19769326;0.19055322;0.009981093
102;0.17508025;0.19378178;0.18357897;0.20067734;0.19506428;0.189636524;0.010211787
103;0.173204;0.19484897;0.18278984;0.19904926;0.19557297;0.189093008;0.010798593
104;0.17340434;0.19154272;0.18274421;0.19890082;0.19536084;0.188390586;0.010313275
105;0.17329139;0.19051997;0.18363803;0.19783576;0.19357309;0.187771648;0.009608083
106;0.17125264;0.18864521;0.18138151;0.19677345;0.1928786;0.186186282;0.010112135
107;0.16986814;0.18921648;0.17923331;0.19577788;0.191552;0.185129562;0.010476331
108;0.16921534;0.18781179;0.17741877;0.19338862;0.19190636;0.183948176;0.010332858
109;0.16927768;0.18605134;0.17828661;0.1921594;0.19058134;0.183271274;0.009497791
110;0.16750014;0.18600553;0.17541323;0.19203091;0.18811762;0.181813486;0.010093887
111;0.16574047;0.18666637;0.17428989;0.19110431;0.18754158;0.181068524;0.010663635
112;0.16299695;0.18368776;0.17452381;0.18947741;0.18843312;0.17982381;0.011107155
113;0.16534697;0.18228954;0.17220197;0.19044512;0.18624218;0.179305156;0.010324895
114;0.16148678;0.18306697;0.17136141;0.18726413;0.18443639;0.177523136;0.010822958
115;0.16015734;0.18062275;0.17087535;0.18730812;0.18454851;0.176702414;0.01114793
116;0.16090322;0.17975337;0.16858898;0.1861194;0.18190547;0.175454088;0.010400847
117;0.15797939;0.17863388;0.16914045;0.18465094;0.18201503;0.174483938;0.010934581
118;0.15778077;0.17692957;0.16948112;0.18377093;0.18193416;0.17397931;0.010612327
119;0.15662501;0.17595361;0.16725322;0.18501985;0.17931865;0.172834068;0.011114788
120;0.15458797;0.17650233;0.16688486;0.18319743;0.17844272;0.171923062;0.011363053
121;0.15321814;0.17573783;0.16347194;0.18183388;0.17920468;0.170693294;0.012036742
122;0.15502413;0.1738686;0.16386169;0.18040062;0.17859411;0.17034983;0.010704454
123;0.15339848;0.17130235;0.16391309;0.17959968;0.17674261;0.168991242;0.010569836
124;0.15090746;0.17235121;0.16221827;0.17853175;0.17475594;0.167752926;0.011188963
125;0.14787268;0.17091217;0.16206397;0.17758962;0.17426138;0.166539964;0.011930354
126;0.14942116;0.17000963;0.16270775;0.17600798;0.17304975;0.166239254;0.010622457
127;0.14925718;0.16886924;0.15899541;0.178766;0.17259949;0.165697464;0.011658529
128;0.14684547;0.16903976;0.15665932;0.17438463;0.17128099;0.163642034;0.011551789
129;0.14546089;0.16693372;0.15861629;0.17407036;0.17147136;0.163310524;0.011577415
130;0.14750124;0.1648858;0.15640624;0.1740778;0.16970156;0.162514528;0.010650066
131;0.14309195;0.16470474;0.15621384;0.17308665;0.16887002;0.16119344;0.01188663
132;0.14272351;0.16473172;0.15630839;0.17146035;0.16907454;0.160859702;0.011667109
133;0.14267165;0.16268357;0.15630838;0.17134179;0.16725806;0.16005269;0.011207175
134;0.14174349;0.16217071;0.15299562;0.171353;0.16613722;0.158880008;0.011697838
135;0.13963648;0.16077248;0.15135072;0.16829373;0.16544899;0.15710048;0.011688895
136;0.13990762;0.16047869;0.15162907;0.16818467;0.16590125;0.15722026;0.011588617
137;0.13854348;0.16014015;0.15033596;0.16736836;0.16390984;0.156059558;0.011680536
138;0.13754395;0.1594228;0.15000887;0.1665809;0.1634921;0.155409724;0.01177476
139;0.13739801;0.15826568;0.1495532;0.1668584;0.16402544;0.155220146;0.011958263
140;0.13709213;0.15814319;0.14946586;0.16634743;0.16108477;0.154426676;0.011460184
141;0.13450391;0.15575629;0.14503111;0.16454715;0.16001533;0.151970758;0.012149697
142;0.13441558;0.15571338;0.1480466;0.16138957;0.16088305;0.152089636;0.011243474
143;0.13365681;0.15123267;0.14486357;0.16215724;0.16139532;0.150661122;0.011942243
144;0.13312473;0.15286515;0.14591784;0.16027449;0.15744618;0.149925678;0.010847015
145;0.13035525;0.15175524;0.14389712;0.16135629;0.16005585;0.14948395;0.012796446
146;0.13129162;0.15240111;0.14404338;0.15973052;0.15508624;0.148510574;0.011188287
147;0.12880156;0.150267;0.14234091;0.15867767;0.15751057;0.147519542;0.01233951
148;0.12906534;0.14999084;0.14079237;0.15717108;0.15441459;0.146286844;0.011456612
149;0.12766176;0.14864027;0.14124129;0.1566003;0.15401692;0.145632108;0.01163903
150;0.12737282;0.14702824;0.14366865;0.15586284;0.15329656;0.145445822;0.011207633
151;0.12612119;0.14658406;0.14574984;0.15645431;0.15221086;0.145424052;0.01163808
152;0.12514057;0.1479079;0.1410463;0.15387484;0.1522527;0.144044462;0.011675656
153;0.12413512;0.14480715;0.13740377;0.15310293;0.15312334;0.142514462;0.012184414
154;0.12687003;0.14336421;0.13929065;0.15193503;0.1492063;0.142133244;0.009857287
155;0.12368289;0.14304226;0.13630518;0.15509766;0.14982158;0.141589914;0.012256822
156;0.12114968;0.14355019;0.1331635;0.15075001;0.14871938;0.139466552;0.012296784
157;0.12054035;0.14180692;0.13610718;0.14963961;0.15010089;0.13963899;0.012159311
158;0.12488211;0.13938001;0.13432997;0.15055952;0.14622671;0.139075664;0.010088206
159;0.11969504;0.1411209;0.13235744;0.1495001;0.14491708;0.137518112;0.011785449
160;0.1185116;0.13949814;0.13255987;0.14862335;0.1464961;0.137137812;0.012175381
161;0.12196164;0.13752937;0.12970225;0.14844968;0.14525474;0.136579536;0.010932081
162;0.11959527;0.1371342;0.13096984;0.14553868;0.14445822;0.135539242;0.010690773
163;0.11763525;0.13549798;0.13083875;0.14627888;0.1424962;0.134549412;0.011196981
164;0.11777449;0.13523585;0.13063486;0.14602717;0.14057389;0.134049252;0.010770044
165;0.11498015;0.1364659;0.13019605;0.14367741;0.14263187;0.133590276;0.011722068
166;0.11708144;0.13611747;0.12744601;0.14501696;0.1415366;0.133439696;0.011294691
167;0.11705034;0.13242746;0.12759597;0.14285676;0.14023901;0.132033908;0.010353928
