Step;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r2 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r0 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r1 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r3 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r4 - train/loss;DA-GCN_mean;DA-GCN_std
289;0.01530455;0.01178002;0.01657637;0.01319777;0.0132212;0.014015982;0.001905037
290;0.01388209;0.01461026;0.01550378;0.01198492;0.01955293;0.015106796;0.0028026
291;0.01514512;0.0157976;0.01417547;0.01246813;0.021912;0.015899664;0.003587346
292;0.01377558;0.01809135;0.01543535;0.01282754;0.02211453;0.01644887;0.003744502
293;0.01270461;0.01487037;0.01798424;0.0122988;0.01811851;0.015195306;0.002784878
294;0.01161509;0.01821333;0.01522628;0.01210846;0.0142459;0.014281812;0.002654478
295;0.01179539;0.01474854;0.01491999;0.01182299;0.0138419;0.013425762;0.001531553
296;0.01081946;0.01466681;0.01468916;0.01143369;0.01251643;0.01282511;0.001797255
297;0.01089646;0.01473604;0.01361787;0.01173869;0.01268705;0.012735222;0.001513174
298;0.01120165;0.01278303;0.01209085;0.01164131;0.01301497;0.012146362;0.000760011
299;0.01126251;0.01404875;0.01183785;0.01268967;0.0124409;0.012455936;0.001048595
